map;date;time;player;cheated
C14;17/05/2017;0:38.385;RotakeR;0
C14;17/05/2017;0:38.334;RotakeR;0
C14;??/??/????;0:38.325;Spam;0
C14;05/08/2018;0:38.291;Spam;0
C14;??/??/????;0:38.212;Spam;0
C14;08/08/2018;0:38.160;Spam;0
C14;21/12/2019;0:38.147;RACETA;0
C14;09/04/2021;0:38.145;MiThyX;0
C14;24/06/2022;0:38.132;Loupphok;0
C14;22/04/2023;0:38.123;RACETA;0
C14;04/04/2024;0:38.117;Loupphok;0
C15;??/??/????;1:38.701;JaV;0
C15;23/07/2013;1:35.421;Blizz;0
C15;26/07/2013;1:35.263;Blizz;0
C15;26/07/2013;1:34.985;Tween;0
C15;18/11/2015;1:34.334;Serbi;0
C15;??/??/????;1:34.154;CarlJr;0
C15;15/05/2019;1:34.075;riolu;0
C15;17/11/2019;1:34.032;CarlJr;0
C15;09/11/2023;1:34.031;Loupphok;0
D01;01/07/2013;0:43.130;Wiloux;0
D01;17/07/2013;0:42.758;WiiDii;0
D01;24/07/2013;0:42.753;Wiloux;0
D01;02/08/2013;0:42.622;Wiloux;0
D01;18/08/2013;0:42.561;Wiloux;0
D01;28/08/2013;0:42.513;Fire!;0
D01;06/09/2013;0:42.450;Wiloux;0
D01;03/02/2016;0:42.155;riolu;0
D01;??/05/2017;0:42.475;KevinStrike;0
D01;24/05/2017;0:42.182;KevinStrike;0
D01;??/??/2017;0:41.972;Pigge;0
D01;30/08/2017;0:41.915;riolu;0
D01;30/08/2017;0:41.752;riolu;0
D01;??/??/2017;0:xx.xxx;Pigge;0
D01;14/12/2017;0:41.262;Frev;0
D01;18/12/2017;0:41.201;Pigge;0
D01;23/06/2018;0:41.114;Vulnerra;0
D01;21/09/2018;0:40.752;Frev;0
D01;19/08/2019;0:40.448;Frev;0
D01;26/12/2019;0:40.445;RACETA;0
D01;12/05/2020;0:40.401;Loupphok;0
D01;13/05/2020;0:40.363;Loupphok;0
D01;27/07/2021;0:40.261;Schmaniol;0
D01;31/05/2022;0:40.145;Loupphok;0
D01;05/08/2022;0:40.138;Schmaniol;0
D02;25/06/2013;0:38.468;Flyer;0
D02;27/06/2013;0:38.164;Wally;0
D02;07/10/2013;0:37.941;Flyer;0
D02;14/07/2015;0:37.926;JaviFlyer;0
D02;05/06/2017;0:37.918;Scrapie;0
D02;11/06/2017;0:37.854;CarlJr;0
D02;25/11/2017;0:37.853;racehans;0
D02;31/03/2018;0:37.844;CarlJr;0
D02;11/09/2018;0:37.718;eprotizuu;0
D02;11/10/2018;0:37.701;Mudda;0
D02;15/10/2018;0:37.618;riolu;0
D02;19/12/2018;0:37.598;Spam;0
D02;31/12/2019;0:37.586;RACETA;0
D02;08/02/2022;0:37.584;Loupphok;0
D02;18/03/2023;0:37.583;RACETA;0
D02;26/09/2023;0:37.578;Loupphok;0
D03;16/07/2013;0:37.636;CarlJr;0
D03;17/07/2013;0:37.548;Wally;0
D03;26/07/2013;0:37.542;Jaja;0
D03;28/07/2013;0:37.470;Tween;0
D03;28/07/2013;0:37.427;Netsky;0
D03;30/07/2013;0:37.347;Tween;0
D03;01/08/2013;0:37.295;Netsky;0
D03;08/08/2013;0:37.253;Wiloux;0
D03;01/06/2014;0:37.141;Demon;0
D03;18/06/2017;0:37.041;RotakeR;0
D03;19/06/2017;0:37.017;eprotizuu;0
D03;16/05/2018;0:36.96x;fliks;0
D03;23/05/2018;0:36.693;RotakeR;0
D03;02/08/2018;0:36.497;fliks;0
D03;05/01/2020;0:36.374;RACETA;0
D03;16/07/2020;0:36.077;fliks;0
D04;23/06/2013;0:43.233;TnT;0
D04;17/07/2013;0:43.197;CarlJr;0
D04;25/07/2013;0:43.031;JaV;0
D04;28/07/2013;0:42.928;CarlJr;0
D04;04/09/2013;0:42.854;Netsky;0
D04;09/05/2014;0:42.788;Demon;0
D04;14/07/2015;0:42.645;JaviFlyer;0
D04;05/09/2015;0:42.592;Shock77;0
D04;10/06/2017;0:42.475;RotakeR;0
D04;12/08/2017;0:42.468;CarlJr;0
D04;11/07/2018;0:42.440;the.Park;0
D04;04/09/2018;0:42.428;Vulnerra;0
D04;05/09/2018;0:42.398;Vulnerra;0
D04;14/09/2018;0:42.263;LAMArtifice;0
D04;18/09/2018;0:42.254;Vulnerra;0
D04;20/09/2018;0:42.244;LAMArtifice;0
D04;20/09/2018;0:42.182;Vulnerra;0
D04;??/09/2018;0:42.148;eprotizuu;0
D04;27/09/2018;0:42.142;Vulnerra;0
D04;28/09/2018;0:42.135;eprotizuu;0
D04;30/09/2018;0:42.134;Vulnerra;0
D04;13/10/2018;0:42.046;Vulnerra;0
D04;19/10/2018;0:42.018;eprotizuu;0
D04;09/01/2020;0:41.951;RACETA;0
D04;12/06/2024;0:41.942;Loupphok;0
D05;23/07/2013;1:36.852;Tween;0
D05;12/08/2013;1:36.744;CarlJr;0
D05;13/08/2013;1:35.650;Tween;0
D05;09/07/2017;1:35.491;CarlJr;0
D05;30/08/2018;1:35.280;Kappa;0
D05;30/04/2020;1:34.926;Kappa;0
D05;27/08/2020;1:34.873;RACETA;0
D06;25/06/2013;0:48.372;Flyer;0
D06;29/06/2013;0:48.064;Wally;0
D06;24/08/2013;0:47.960;Tween;0
D06;23/08/2014;0:47.918;JaV;0
D06;30/08/2015;0:47.692;mt17;0
D06;13/06/2017;0:47.727;Vulnerra;0
D06;14/06/2017;0:47.541;CarlJr;0
D06;27/07/2017;0:47.433;Maciey;0
D06;03/08/2018;0:47.375;hugo220;0
D06;??/??/2018;0:47.252;riolu;1
D06;11/01/2020;0:47.230;RACETA;0
D06;13/01/2020;0:47.221;riolu;1
D06;08/05/2022;0:47.098;Loupphok;0
D07;25/06/2013;0:39.120;Down;0
D07;05/07/2013;0:39.118;Dragon;0
D07;12/10/2013;0:39.038;Demon;0
D07;18/10/2014;0:38.963;Alecz;0
D07;07/06/2017;0:38.866;Keby;0
D07;08/06/2017;0:38.854;ClearVision;0
D07;18/07/2017;0:38.840;racehans;0
D07;19/08/2018;0:38.783;RotakeR;0
D07;14/11/2018;0:38.758;Switch;0
D07;23/03/2019;0:38.730;Mudda;0
D07;17/04/2019;0:38.667;riolu;0
D07;14/01/2020;0:38.596;RACETA;0
D08;25/06/2013;0:22.332;Flyer;0
D08;05/07/2013;0:22.015;CarlJr;0
D08;21/07/2013;0:21.915;Shock77;0
D08;22/07/2013;0:21.818;Tatu;0
D08;13/08/2013;0:21.672;Blizz;0
D08;11/05/2014;0:21.608;Demon;0
D08;27/07/2014;0:21.152;Peyman;0
D08;04/08/2014;0:20.955;riolu;0
D08;14/10/2014;0:20.948;Smashy;0
D08;10/01/2015;0:20.781;riolu;0
D08;19/06/2017;0:20.735;eprotizuu;0
D08;22/06/2019;0:20.682;Samuel;0
D08;27/06/2019;0:20.645;riolu;1
D08;03/07/2019;0:20.618;Samuel;0
D08;29/04/2023;0:20.528;Mebe12;0
D09;17/07/2013;0:39.404;Shock77;0
D09;28/07/2013;0:39.271;CarlJr;0
D09;25/05/2014;0:39.055;JaV;0
D09;01/10/2015;0:39.048;riolu;0
D09;??/??/????;0:38.872;Reyger;0
D09;18/06/2018;0:38.772;hugo220;0
D09;??/??/????;0:38.692;Reyger;0
D09;25/05/2019;0:38.608;Reyger;0
D09;23/11/2019;0:38.588;Reyger;0
D09;24/11/2019;0:38.535;Reyger;0
D09;16/08/2022;0:38.528;ZedroX;0
D09;02/05/2024;0:38.522;Loupphok;0
D10;27/06/2013;3:07.921;RACETA;0
D10;18/07/2013;3:04.066;JaV;0
D10;28/12/2013;3:03.835;Demon;0
D10;28/08/2014;3:03.208;JaV;0
D10;16/06/2017;3:02.805;hugo220;0
D10;02/07/2017;3:01.998;fliks;0
D10;31/07/2017;2:58.804;Ryxsar;0
D10;16/12/2017;2:56.735;fliks;0
D10;30/07/2019;2:56.623;Bluts;0
D10;04/09/2019;2:54.905;fliks;0
D10;05/09/2019;2:54.514;Bluts;0
D10;31/05/2020;2:54.350;Bluts;0
D10;26/06/2020;2:53.115;Bluts;0
D10;24/01/2022;2:52.506;Bluts;0
D10;16/02/2022;2:52.141;Bluts;0
D10;25/02/2022;2:51.754;Bluts;0
D11;03/07/2013;0:47.486;Flyer;0
D11;27/07/2013;0:47.038;Flyer;0
D11;27/01/2014;0:46.931;beat;0
D11;26/07/2017;0:47.194;Maciey;0
D11;16/08/2017;0:46.873;CarlJr;0
D11;03/05/2018;0:46.813;Flyer;0
D11;23/11/2018;0:46.793;Demon;0
D11;19/12/2018;0:46.671;Spam;0
D11;25/04/2019;0:46.666;DanikB;0
D11;23/01/2020;0:46.644;RACETA;0
D11;28/05/2020;0:46.494;hugo220;0
D12;22/06/2013;0:54.533;CarlJr;0
D12;27/06/2013;0:54.461;Flyer;0
D12;01/08/2013;0:54.229;Reija;0
D12;02/08/2013;0:53.918;racehans;0
D12;01/06/2014;0:54.786;Demon;0
D12;25/07/2017;0:54.708;racehans;0
D12;17/08/2017;0:53.544;hugo220;0
D12;18/08/2017;0:53.481;CarlJr;0
D12;18/10/2018;0:53.447;riolu;0
D12;25/01/2020;0:53.413;RACETA;0
D12;24/10/2021;0:53.388;MiThyX;0
D12;27/10/2021;0:53.348;Loupphok;0
D12;02/11/2021;0:53.345;MiThyX;0
D12;31/05/2022;0:53.324;Loupphok;0
D12;01/06/2022;0:53.295;Loupphok;0
D12;05/08/2022;0:53.282;MiThyX;0
D12;05/08/2022;0:53.271;MiThyX;0
D12;06/08/2022;0:53.230;MiThyX;0
D12;08/08/2023;0:53.228;Loupphok;0
D12;09/08/2023;0:53.200;Loupphok;0
D13;28/06/2013;0:30.154;7Alvin;0
D13;01/07/2013;0:28.497;7Alvin;0
D13;01/07/2013;0:28.360;7Alvin;0
D13;12/07/2015;0:27.908;Arcanos;0
D13;28/05/2017;0:28.390;Shaiden;0
D13;??/??/2017;0:28.027;ringoa;0
D13;25/07/2017;0:26.887;ringoa;0
D13;25/07/2018;0:26.701;Samuel;0
D13;03/03/2019;0:26.665;Samuel;0
D13;13/09/2019;0:26.603;Samuel;0
D13;01/10/2019;0:26.561;Samuel;0
D13;02/10/2019;0:26.523;Samuel;0
D13;04/10/2019;0:26.468;Samuel;0
D13;14/03/2020;0:26.464;Samuel;0
D13;04/01/2022;0:26.420;Samuel;0
D13;06/01/2022;0:26.393;Samuel;0
D13;09/01/2022;0:26.377;Samuel;0
D13;02/08/2023;0:26.317;Phip;0
D14;27/06/2013;1:02.913;Totor;0
D14;17/08/2013;1:02.229;Shock77;0
D14;14/10/2013;1:01.530;Tatu;0
D14;21/09/2015;1:01.421;Shock77;0
D14;17/08/2017;1:01.223;hugo220;0
D14;19/12/2018;1:01.105;Spam;0
D14;22/04/2020;1:00.901;CarlJr;0
D14;26/04/2020;1:00.861;Kappa;0
D14;28/04/2020;1:00.794;Kappa;0
D14;03/05/2020;1:00.681;Kappa;0
D14;19/08/2022;1:00.628;Levon;0
D14;21/02/2023;1:00.601;RACETA;0
D15;30/07/2013;7:44.606;Vogter;0
D15;30/07/2013;7:43.658;Tween;0
D15;10/06/2016;7:43.381;JaviFlyer;0
D15;26/11/2017;7:40.747;CarlJr;0
D15;06/02/2024;7:40.088;Sapi;0
E01;18/07/2013;1:01.310;JaV;0
E01;20/07/2013;1:01.014;Wally;0
E01;22/07/2013;1:00.448;Wally;0
E01;25/04/2014;0:59.989;Scrapie;0
E01;28/04/2014;0:59.906;Jadooky;0
E01;30/07/2017;0:59.989;Maciey;0
E01;14/01/2018;0:59.514;CarlJr;0
E01;17/09/2018;0:59.438;Spam;0
E01;08/05/2020;0:59.268;Kappa;0
E01;16/06/2024;0:59.266;Loupphok;0
E02;08/07/2013;0:57.992;Wally;0
E02;20/08/2013;0:57.734;Tomsen;0
E02;25/06/2014;0:57.305;vrbica;0
E02;30/05/2017;0:57.613;racehans;0
E02;07/06/2017;0:56.514;KevinStrike;0
E02;30/11/2017;0:55.835;LAMArtifice;0
E02;12/01/2018;0:55.358;LAMArtifice;0
E02;04/08/2019;0:55.124;Bluts;0
E02;04/11/2019;0:54.918;Bluts;0
E02;12/04/2023;0:54.850;Phip;0
E03;24/07/2013;1:59.928;Tween;0
E03;20/07/2014;1:59.393;Peyman;0
E03;09/09/2015;1:57.990;riolu;0
E03;14/07/2017;1:57.528;Spam;0
E03;15/07/2017;1:57.053;DexteR;0
E03;17/07/2017;1:55.447;CarlJr;0
E03;05/05/2019;1:55.407;Nixotica;0
E03;12/05/2020;1:55.040;Kappa;0
E03;14/05/2020;1:54.945;Nixotica;0
E03;17/05/2020;1:53.971;Kappa;0
E04;25/06/2013;1:58.032;Yoshi;0
E04;19/07/2013;1:57.553;WiiDii;0
E04;18/08/2013;1:56.953;WiiDii;0
E04;26/03/2018;1:55.385;Ragha;0
E04;??/??/????;1:54.327;Fire!;0
E04;28/09/2019;1:53.901;Fire!;0
E04;29/11/2019;1:53.807;Cocho;0
E04;24/01/2023;1:53.617;Loupphok;0
E04;25/01/2023;1:53.498;Loupphok;0
E04;28/01/2023;1:53.440;Cocho;0
E04;02/02/2023;1:53.286;Cocho;0
E04;02/02/2023;1:53.078;Cocho;0
E04;02/02/2023;1:52.878;Cocho;0
E05;09/07/2013;9:05.021;Coscos;0
E05;26/07/2013;8:50.654;Tween;0
E05;22/08/2013;8:50.564;Demon;0
E05;25/08/2013;8:47.990;Tween;0
E05;03/09/2016;8:45.292;JaviFlyer;0
E05;19/09/2017;8:44.058;CarlJr;0
E05;29/12/2018;8:43.630;Scrapie;0
E05;02/01/2019;8:42.552;Rollin;0
E05;25/05/2020;8:42.113;DanikB;0
E05;03/10/2021;8:41.302;Demon;0
